Epic,Feature,User Story,Criterios de Aceptación,Prioridad,Tipo,Estado
Autenticación y Seguridad,Verificación de email al registrarse,"Como nuevo usuario, quiero recibir un email con un código de verificación al registrarme, para confirmar que mi dirección de email es válida antes de poder usar la plataforma.","- Al registrarse se envía un email con código de 6 dígitos. - El usuario no puede iniciar sesión hasta verificar el email. - El código expira en 24 horas. - Existe opción de reenviar el código.",Alta,Full-stack,Por hacer
Autenticación y Seguridad,Recuperación de contraseña,"Como usuario que olvidó su contraseña, quiero poder solicitar un link de recuperación por email, para poder volver a acceder a mi cuenta sin perder mis datos.","- Formulario de ""Olvidé mi contraseña"" en la pantalla de login. - Se envía email con link de recuperación válido por 1 hora. - El link lleva a un formulario para ingresar nueva contraseña. - La contraseña anterior queda invalidada.",Alta,Full-stack,Por hacer
Autenticación y Seguridad,Autenticación en dos pasos (2FA),"Como usuario con historial de pagos, quiero poder activar la autenticación en dos pasos, para proteger mi cuenta de accesos no autorizados.","- Opción para activar 2FA en configuración de perfil. - Soporte de TOTP (Google Authenticator). - Códigos de backup en caso de perder el dispositivo. - 2FA es opcional, no obligatorio.",Baja,Full-stack,Por hacer
Autenticación y Seguridad,Verificación de documentos,"Como camionero, quiero subir fotos de mi DNI, VTV, seguro y carnet de conducir, para que la plataforma verifique que mis documentos son válidos y generar confianza en los dadores de carga.","- Formulario de carga de documentos en el perfil. - Los documentos quedan en estado ""En revisión"". - El admin puede aprobar o rechazar cada documento. - El perfil muestra badge ""Documentación verificada"".",Media,Full-stack,Por hacer
Gestión de Perfil,Edición de perfil persistida en base de datos,"Como usuario, quiero que los cambios que hago en mi perfil (nombre, teléfono, email) se guarden realmente en la base de datos, para no tener que ingresarlos cada vez que inicio sesión.","- El botón ""Guardar cambios"" hace un PATCH a la API. - Los nuevos datos se reflejan inmediatamente en sesión. - Se muestra toast de confirmación. - Validación de formato de email y teléfono.",Alta,Full-stack,Por hacer
Gestión de Perfil,Registro y edición del camión desde el perfil,"Como camionero, quiero poder cargar y editar los datos de mi camión (tipo, marca, modelo, patente, capacidad) desde mi perfil, para que los dadores de carga vean información real sobre mi vehículo.","- Formulario de camión en la sección Perfil. - Los datos se guardan en el modelo Truck vinculado al usuario. - Se pueden editar en cualquier momento. - Los datos del camión se muestran en las ofertas enviadas.",Alta,Full-stack,Por hacer
Gestión de Perfil,Perfil público de camionero,"Como dador de carga, quiero ver el perfil público de un camionero antes de aceptar su oferta, para poder evaluar su historial y decidir con más información.","- Click en el nombre del camionero abre un panel/modal con su perfil. - Muestra: rating promedio, cantidad de viajes, tipo de camión, reseñas recibidas, fecha de ingreso a la plataforma. - No muestra información privada como DNI o email.",Media,Full-stack,Por hacer
Gestión de Perfil,Perfil público de dador de carga,"Como camionero, quiero ver el perfil público de un dador antes de enviar una oferta, para saber si es confiable y si paga a tiempo.","- Click en el nombre del dador abre su perfil público. - Muestra: rating promedio, cantidad de cargas publicadas, reseñas recibidas, razón social si aplica. - No expone información sensible.",Media,Full-stack,Por hacer
Publicación y Gestión de Cargas,Cancelar una carga publicada,"Como dador de carga, quiero poder cancelar una carga que publiqué, para poder retirarla del mercado si ya no la necesito o cometí un error.","- Botón ""Cancelar carga"" disponible mientras el estado sea ""available"". - Requiere confirmación antes de cancelar. - Las ofertas pendientes se notifican a los camioneros que ofertaron. - La carga pasa a estado ""cancelled"" y desaparece de la búsqueda.",Alta,Full-stack,Por hacer
Publicación y Gestión de Cargas,Editar una carga antes de recibir ofertas,"Como dador de carga, quiero poder editar los datos de una carga que publiqué (precio, descripción, fecha), para corregir errores sin tener que cancelarla y volver a publicarla.","- Botón ""Editar"" disponible solo si la carga no tiene ofertas. - Se pueden editar todos los campos excepto origen y destino. - Los cambios se guardan en la DB. - Si ya tiene ofertas, el botón está deshabilitado con un tooltip explicativo.",Media,Full-stack,Por hacer
Publicación y Gestión de Cargas,Historial de envíos completo del dador,"Como dador de carga, quiero ver un historial de todos mis envíos completados con detalles, para tener registro de mis operaciones y poder descargar comprobantes.","- La sección Historial muestra cargas con status ""delivered"". - Incluye: ruta, camionero, fecha, monto pagado. - Se puede filtrar por rango de fechas. - Se puede descargar el comprobante de cada envío.",Alta,Frontend,Por hacer
Publicación y Gestión de Cargas,Filtrar y ordenar ofertas recibidas,"Como dador de carga, quiero poder filtrar y ordenar las ofertas que recibo por precio, calificación del camionero y fecha, para tomar decisiones más eficientemente cuando tengo muchas ofertas.","- Dentro del modal de ofertas hay opciones de ordenamiento: menor precio, mayor calificación, más reciente. - El filtro se aplica instantáneamente sin recargar.",Baja,Frontend,Por hacer
Búsqueda y Ofertas,Alertas de nuevas cargas por filtro,"Como camionero, quiero guardar mis filtros de búsqueda como una alerta, para recibir una notificación cuando se publique una carga que coincida con mis preferencias.","- Botón ""Guardar alerta con estos filtros"" persiste los filtros del usuario en la DB. - Cuando se publica una carga nueva que coincide, se dispara una notificación. - El usuario puede gestionar y eliminar sus alertas.",Media,Full-stack,Por hacer
Búsqueda y Ofertas,Filtro por distancia real del recorrido,"Como camionero, quiero filtrar cargas disponibles por la distancia real del recorrido (km), para encontrar rutas que se adapten a mi disponibilidad y autonomía.","- El filtro de ""Distancia recorrida"" usa los km calculados con coordenadas reales. - Las cards de carga muestran los km del recorrido cuando hay coordenadas disponibles. - El sort por ""Más cercano"" funciona con distancia real.",Media,Frontend,Por hacer
Búsqueda y Ofertas,Notificaciones al camionero,"Como camionero, quiero recibir notificaciones cuando aceptan, rechazan o contraofertan mi oferta, para no tener que revisar manualmente el estado de cada oferta.","- La campanita de notificaciones muestra badge con el número de novedades. - Las notificaciones se guardan en DB con timestamp. - Marcar como leída al hacer click. - Tipos: oferta aceptada, oferta rechazada, contraoferta recibida, oferta aceptada por contraoferta.",Alta,Full-stack,Por hacer
Búsqueda y Ofertas,Notificaciones al dador de carga,"Como dador de carga, quiero recibir notificaciones cuando llega una nueva oferta o un camionero acepta mi contraoferta, para responder a tiempo.","- Badge en el nav muestra cantidad de novedades. - Notificaciones en DB con estado leído/no leído. - Tipos: nueva oferta recibida, camionero aceptó contraoferta, camionero retiró oferta.",Alta,Full-stack,Por hacer
Pagos y Facturación,Integración real con MercadoPago,"Como dador de carga, quiero pagar a través de MercadoPago real (no simulado), para que el proceso de pago sea seguro y el camionero reciba confirmación oficial.","- Redirección a checkout de MercadoPago real. - Webhook procesa la confirmación del pago. - El estado de la carga cambia a ""in_transit"" solo tras pago confirmado por MP. - Manejo de pagos rechazados y pendientes.",Alta,Full-stack,Por hacer
Pagos y Facturación,Liberación de escrow al confirmar entrega,"Como camionero, quiero que el dinero se libere automáticamente a mi cuenta cuando el dador confirma la llegada, para tener certeza de cuándo cobro.","- Al hacer ""Confirmar llegada"" el dador libera el pago. - El sistema registra la transferencia del escrow al camionero. - El camionero recibe notificación de pago acreditado. - El monto se refleja en su historial de ingresos.",Alta,Full-stack,Por hacer
Pagos y Facturación,Factura en PDF descargable,"Como dador de carga, quiero descargar la factura de cada envío en formato PDF, para poder enviarla a contabilidad o usarla como comprobante formal.","- Botón de descarga genera un PDF (no .txt). - El PDF incluye: datos del dador, datos del camionero, ruta, fecha, monto, número de factura. - Respeta el formato requerido por AFIP básicamente.",Media,Full-stack,Por hacer
Pagos y Facturación,Historial de cobros del camionero,"Como camionero, quiero ver un historial de todos mis cobros con fecha y monto, para llevar registro de mis ingresos y facilitarle la tarea a mi contador.","- Sección dedicada en el perfil o Mis Viajes. - Muestra cada cobro: dador, ruta, fecha, monto. - Total del mes y del año. - Exportable a CSV.",Media,Full-stack,Por hacer
Mensajería,Mensajes en tiempo real con polling,"Como usuario, quiero que los mensajes del chat aparezcan sin tener que recargar la página manualmente, para tener una conversación fluida con mi contraparte.","- El chat hace polling cada 5-10 segundos para buscar mensajes nuevos. - Un badge en la sección Mensajes muestra cuántos mensajes no leídos hay. - Se puede mejorar a WebSockets en el futuro.",Media,Full-stack,Por hacer
Mensajería,Notificación de mensaje nuevo,"Como usuario, quiero ver un indicador visual cuando tengo mensajes sin leer, para no perderme comunicaciones importantes durante un viaje.","- Badge rojo en el ítem ""Mensajes"" del nav con el conteo de no leídos. - El badge desaparece al abrir la conversación. - Persiste al recargar la página.",Media,Full-stack,Por hacer
Mensajería,Adjuntar imágenes en el chat,"Como usuario, quiero poder enviar fotos en el chat, para documentar el estado de la mercadería al momento del retiro o entrega.","- Botón de adjuntar imagen en el chat. - Soporte de JPG y PNG hasta 5MB. - Las imágenes se almacenan y se muestran inline en la conversación. - Se puede hacer click para ver en tamaño completo.",Baja,Full-stack,Por hacer
Empresa de Flota,Asignar viajes a camioneros de la flota,"Como administrador de flota, quiero poder ver las cargas disponibles y asignarlas a uno de mis camioneros, para coordinar la operación de mi empresa sin que cada chofer tenga que buscar cargas por su cuenta.","- El admin ve las cargas disponibles igual que un camionero. - Puede seleccionar un camionero de su flota para enviar la oferta. - El camionero asignado ve el viaje en su sección ""Mis Viajes"". - El admin tiene visibilidad del estado de todos los viajes de su flota.",Alta,Full-stack,Por hacer
Empresa de Flota,Registrar camiones de la flota,"Como administrador de flota, quiero poder cargar y administrar los camiones de mi empresa desde el panel, para mantener actualizado el inventario de vehículos disponibles.","- Formulario para agregar camión: patente, tipo, marca, modelo, capacidad, vencimiento VTV y seguro. - Lista de camiones con estado (disponible, en viaje, en mantenimiento). - Alertas de documentos próximos a vencer.",Alta,Full-stack,Por hacer
